Id,Obj. Name,IAUName,Cross References,RA,DEC,Type,Redshift,HostName,Obj.Program,Public,No. of publicSpectra,Photometry,Remarks,Created By,LastModified,Modified By
21558,SN2018cwa,SN2018cwa,Coord.聽X-Refs 禄  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,42:43.9,+34:06:26.06,SN II,0.013885,,,Y,1,,"[TNS Source Group: ATLAS; Reporter/s: J. Tonry, B. Stalder...]",upload-TNS,2018/6/27,upload-TNS
21548,SN2018cug,SN2018cug,Coord.聽X-Refs 禄  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,49:19.2,+49:24:44.68,SN II,0.05,,,Y,,,"[TNS Source Group: ATLAS; Reporter/s: J. Tonry, B. Stalder...]",upload-TNS,2018/6/23,upload-TNS
21538,SN2018cur,SN2018cur,Coord.聽X-Refs 禄  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,59:09.1,+37:19:00.10,SN II,,,,Y,1,,"[TNS Source Group: ATLAS; Reporter/s: J. Tonry, B. Stalder...]",upload-TNS,2018/6/24,upload-TNS
21537,SN2018cuf,SN2018cuf,Coord.聽X-Refs 禄  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,16:11.6,-64:28:57.27,SN II,0.0108,IC5092,,Y,1,,"[TNS Source Group: DLT40; Reporter/s: S. Valenti, D.J.Sand...]",upload-TNS,2018/6/23,upload-TNS
21520,SN2018cqp,SN2018cqp,Coord.聽X-Refs 禄  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,22:50.3,+08:04:49.12,SN II,0.03236,,,Y,,,"[TNS Source Group: ATLAS; Reporter/s: J. Tonry, B. Stalder...]",upload-TNS,2018/6/18,upload-TNS
21506,SN2018cqi,SN2018cqi,Coord.聽X-Refs 禄  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,57:40.9,+17:30:28.66,SN II,0.022,IC 0964,,Y,1,,"[TNS Source Group: ASAS-SN; Reporter/s: P. Cacella, K. Z. St...]",upload-TNS,2018/6/18,upload-TNS
21455,SN2018ccb,SN2018ccb,Coord.聽X-Refs 禄  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,30:57.3,+29:52:47.28,SN II,0.0158,,,Y,1,,[TNS Source Group: ZTF; Reporter/s: C. Fremling (Caltech...],upload-TNS,2018/6/1,upload-TNS
21453,SN2017cel,SN2017cel,Coord.聽X-Refs 禄  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,58:48.5,-11:14:51.37,SN II,0.052,,,Y,,,"[TNS Source Group: ATLAS; Reporter/s: J. Tonry, B. Stalder...]",upload-TNS,2017/3/14,upload-TNS
21444,SN2018cbb,SN2018cbb,Coord.聽X-Refs 禄  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,29:05.4,+39:53:11.28,SN II,0.025,,,Y,1,,"[TNS Source Group: Pan-STARRS1; Reporter/s: K. C. Chambers, M. E...]",upload-TNS,2018/5/28,upload-TNS
21436,SN2018bwd,,Coord.聽X-Refs 禄  ADS  NED  EXTINCTION  SDSS  SIMBAD  DSS  HEASARC  WISE  PTF IPAC  ATEL,50:50.5,-77:52:56.28,SN II,0.014,,ePESSTO,Y,1,,,nikola-UploadSet,2018/5/23,nikola-UploadSet
Due to the data size, only 10 items are given here. 
